Item,Number of consumer units (in thousands),,Consumer unit characteristics:,,Income before taxes,,Age of reference person,,Average number in consumer unit:,People,Children under 18,Adults 65 and older,Earners,Vehicles,,Percent homeowner,,Average annual expenditures,,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy products,Fruits and vegetables,Other food at home,Food away from home,,Alcoholic beverages,,Housing,Shelter,Owned dwellings,Rented dwellings,Other lodging,"Utilities, fuels, and public services",Household operations,Housekeeping supplies,Household furnishings and equipment,,Apparel and services,,Transportation,Vehicle purchases (net outlay),"Gasoline, other fuels, and motor oil",Other vehicle expenses,Public and other transportation,,Healthcare,Entertainment,Personal care products and services,Reading,Education,Tobacco products and smoking supplies,Miscellaneous,Cash contributions,,Personal insurance and pensions,Life and other personal insurance,Pensions and Social Security
"All consumer
units in the
West",28601,,,,85107,,49.8,,,2.7,0.7,0.4,1.4,2.1,,58,,66704,,8571,4742,596,1008,486,958,1694,3829,,663,,22612,14210,7514,5845,851,3847,1565,788,2203,,2054,,10217,4170,2180,3004,863,,4857,3540,854,143,1518,249,1275,2268,,7882,322,7560
Los Angeles,6337,,,,76471,,49.8,,,2.8,0.7,0.3,1.5,1.7,,52,,66971,,8727,4466,549,1050,423,970,1474,4262,,620,,24331,16454,7822,7881,751,3757,1583,761,1775,,2150,,9741,3346,2601,2950,845,,3956,2764,868,110,2024,190,1430,1522,,8538,307,8231
"San
Francisco",1749,,,,124002,,49.6,,,2.5,0.5,0.4,1.4,1.8,,55,,79291,,8918,4487,599,1021,449,972,1447,4431,,875,,32656,22885,11958,9652,1275,4258,2580,560,2373,,1878,,7994,1904,1927,2544,1619,,5013,3413,949,217,3214,82,1335,2412,,10336,278,10059
San Diego,1244,,,,99931,,49.2,,,2.7,0.7,0.3,1.4,2.2,,56,,79585,,9984,5364,638,1224,520,997,1985,4620,,1112,,28595,18677,10855,6807,1016,3760,2081,876,3200,,2563,,10592,3188,2432,3781,1191,,5272,4513,1086,192,2453,189,1322,2038,,9673,625,9049
Seattle,1640,,,,117844,,47.9,,,2.4,0.5,0.3,1.5,1.9,,59,,83790,,10958,5978,754,1179,605,1362,2078,4980,,986,,26965,17241,9377,6881,982,3964,2461,775,2524,,3884,,12810,5363,2032,4037,1378,,5546,4295,841,200,2036,257,1527,3502,,9983,376,9608
Phoenix,1420,,,,73834,,50,,,2.5,0.7,0.4,1.3,1.8,,63,,62072,,6856,3938,513,825,364,676,1559,2918,,485,,19491,10634,5738,4113,783,4071,1702,822,2262,,1635,,9985,4430,1914,2895,747,,5328,3138,795,141,1129,402,912,1452,,10323,266,10057
Denver,1422,,,,105790,,46.7,,,2.5,0.6,0.3,1.5,2,,62,,74088,,8855,5057,622,1127,502,1047,1758,3798,,771,,25059,15452,8388,5727,1337,4015,1910,962,2720,,2387,,11841,5261,2028,3218,1334,,6046,4340,1215,141,1430,310,1178,2397,,8119,317,7802
Honolulu,532,,,,93672,,53,,,2.7,0.6,0.5,1.4,1.7,,54,,65099,,10036,5161,511,1349,413,1071,1816,4875,,658,,24355,16502,6982,8769,751,4203,1441,716,1492,,1667,,7391,1954,1794,2156,1488,,3977,3285,705,77,1820,101,597,3512,,6919,251,6668
Anchorage,206,,,,96094,,49.1,,,2.6,0.6,0.3,1.5,2.5,,60,,71606,,8306,5284,655,1073,502,992,2062,3022,,788,,23039,14231,7966,5342,924,4590,1407,719,2092,,1648,,12446,5850,2307,2780,1510,,4557,4346,778,121,1523,482,1526,1867,,10179,455,9724
